,Year,Mean Nitrous Oxide Concentration,Mean Carbon Dioxide Concentration,Mean Methane Concentration,Earth Surface Temperature Anomaly (land and ocean)
0,1964,291.2,319.62,1260.3,-0.252
1,1967,291.5,322.18,1284.03,0.0
2,1970,293.8,325.62031518,1351.7,0.108
3,1971,294.0,326.32,1357.2,-0.126
4,1972,295.6,328.7421100666666,1380.1,0.072
5,1973,296.0,329.68,1385.8,0.342
6,1974,295.7,331.757819525,1421.5,-0.108
7,1975,298.3,332.375551475,1420.4,0.018
8,1977,299.2,332.91706666,1458.1,0.378
9,1980,300.9288333,338.11106667999996,1479.5,0.504
10,1984,304.03775,342.98015485999997,1655.820833,0.306
11,1985,304.2724167,344.14115936999997,1635.335,0.288
12,1986,304.5736667,345.0910595733333,1649.77,0.432
13,1987,305.1549091,346.80489467,1662.4299999999998,0.702
14,1988,306.0085,349.13774562,1672.8899999999999,0.702
15,1989,307.05575,350.92143531333335,1686.7350000000001,0.54
16,1990,308.0556667,353.33075002,1697.1,0.81
17,1991,308.7190833,353.56752919999997,1707.47,0.702
18,1992,309.3625833,354.67345957,1716.29,0.432
19,1993,309.25475,355.50666209166667,1718.7649999999999,0.504
20,1994,309.91325,357.82083513333333,1726.23,0.63
21,1995,310.48,360.56377778333336,1731.08,0.846
22,1996,311.1835833,360.83554243333333,1732.54,0.576
23,1997,312.2418333,363.2066136333333,1740.78,0.936
24,1998,312.957375,365.32437902857146,1747.165,1.17
25,1999,313.9935833,368.01193055,1755.69,0.792
26,2000,315.13677779999995,369.31393054999995,1756.27,0.756
27,2001,315.8989167,369.17276061999996,1756.355,1.026
28,2002,316.0264583,372.34235454,1755.78,1.116
29,2003,317.20008333333334,374.8154,1760.6,1.152
30,2004,317.9581111333333,376.62205,1759.35,1.044
31,2005,318.66305553333336,378.66446666,1758.725,1.206
32,2006,319.4164444333333,380.73088332000003,1756.3600000000001,1.134
33,2007,320.41995835,382.60644999999994,1763.85,1.116
34,2008,321.2586111,384.64499998,1769.845,0.972
35,2009,321.98694443333335,386.15616667999996,1775.63,1.152
36,2010,322.9297929333333,388.30619546,1782.335,1.296
37,2011,323.834,390.2463909,1787.1100000000001,1.026
38,2012,324.7794166333333,392.3017,1792.455,1.152
39,2013,325.6458055333333,395.06001666,1798.25,1.206
40,2014,326.6512777666666,397.05201668,1808.225,1.332
41,2015,327.72,399.33876668000005,1818.905,1.674
42,2016,328.51611113333337,402.50961666,1826.5749999999998,1.782
43,2017,329.5046111,404.93878331999997,1832.06,1.638
44,2018,330.78794443333334,407.20421666000004,1841.17,1.476
45,2019,331.08770830000003,409.73573332000007,1849.58,1.71
46,2020,332.6644166666667,412.36939582499997,1858.085,1.764
47,2021,334.1154166333333,414.34601364,1841.53,1.512
