,Year,Mean Nitrous Oxide Concentration,Mean Carbon Dioxide Concentration,Mean Methane Concentration,Precipitation Anomaly,Sea Temperature Anomaly,Earth Surface Temperature Anomaly (land and ocean)
0,2020,330.7142329610922,405.57676759796186,1906.6902781226815,0.3280586093900961,0.7700406341148103,1.612598883580933
1,2021,331.4660611448772,407.2579976138204,1916.3552234089257,0.3330862735326541,0.792618760601254,1.6455121818770806
2,2022,332.21788932866207,408.93922762967895,1926.020168695166,0.338113937675212,0.8151968870877049,1.678425480173221
3,2023,332.969717512447,410.620457645537,1935.6851139814096,0.3431416018177717,0.8377750135741557,1.7113387784693543
4,2024,333.72154569623194,412.3016876613956,1945.35005926765,0.3481692659603297,0.8603531400605959,1.7442520767654983
5,2025,334.4733738800169,413.9829176772541,1955.015004553894,0.3531969301028876,0.8829312665470503,1.7771653750616423
6,2026,335.22520206380204,415.6641476931122,1964.6799498401344,0.3582245942454474,0.9055093930335083,1.8100786733577792
7,2027,335.977030247587,417.3453777089708,1974.344895126378,0.3632522583880053,0.928087519519952,1.8429919716539267
8,2028,336.7288584313719,419.02660772482886,1984.0098404126184,0.3682799225305633,0.9506656460063994,1.87590526995006
9,2029,337.48068661515686,420.7078377406874,1993.6747856988625,0.373307586673123,0.9732437724928538,1.9088185682462004
10,2030,338.2325147989418,422.389067756546,2003.3397309851025,0.378335250815681,0.995821898979294,1.941731866542348
11,2031,338.9843429827268,424.0702977724041,2013.0046762713464,0.3833629149582389,1.0184000254657484,1.9746451648384884
12,2032,339.73617116651167,425.7515277882626,2022.6696215575869,0.3883905791007986,1.0409781519521957,2.0075584631346324
13,2033,340.4879993502966,427.43275780412114,2032.3345668438303,0.3934182432433566,1.0635562784386394,2.0404717614307764
14,2034,341.23982753408154,429.1139878199792,2041.9995121300744,0.3984459073859145,1.0861344049250903,2.073385059726906
15,2035,341.9916557178667,430.7952178358378,2051.6644574163147,0.4034735715284743,1.1087125314115482,2.1062983580230537
16,2036,342.74348390165164,432.4764478516959,2061.3294027025586,0.4085012356710322,1.1312906578980026,2.1392116563191905
17,2037,343.4953120854366,434.1576778675544,2070.994347988799,0.4135288998135902,1.1538687843844428,2.172124954615331
18,2038,344.2471402692215,435.83890788341296,2080.6592932750427,0.4185565639561499,1.1764469108708866,2.2050382529114785
19,2039,344.99896845300646,437.5201378992711,2090.324238561283,0.4235842280987079,1.1990250373573446,2.237951551207612
20,2040,345.7507966367914,439.2013679151296,2099.989183847527,0.4286118922412658,1.2216031638437883,2.270864849503756
21,2041,346.5026248205764,440.88259793098814,2109.654129133767,0.4336395563838255,1.244181290330232,2.303778147799896
22,2042,347.25445300436127,442.56382794684623,2119.319074420011,0.4386672205263835,1.266759416816683,2.336691446096033
23,2043,348.0062811881462,444.2450579627048,2128.9840197062517,0.4436948846689414,1.2893375433031302,2.369604744392184
24,2044,348.75810937193137,445.92628797856287,2138.648964992495,0.4487225488115012,1.3119156697895917,2.402518042688321
25,2045,349.5099375557163,447.6075179944214,2148.3139102787354,0.4537502129540591,1.3344937962760355,2.435431340984465
26,2046,350.26176573950124,449.28874801028,2157.9788555649798,0.4587778770966171,1.3570719227624863,2.4683446392806125
27,2047,351.0135939232862,450.9699780261381,2167.64380085122,0.4638055412391768,1.3796500492489372,2.5012579375767423
28,2048,351.7654221070711,452.6512080419966,2177.3087461374635,0.4688332053817348,1.402228175735381,2.5341712358728863
29,2049,352.51725029085605,454.3324380578552,2186.973691423708,0.4738608695242927,1.4248063022218282,2.567084534169034
30,2050,353.269078474641,456.0136680737132,2196.638636709948,0.4788885336668524,1.447384428708279,2.5999978324651636
