,Year,Mean Nitrous Oxide Concentration,Mean Carbon Dioxide Concentration,Mean Methane Concentration,Mean Adjusted Sea Level (inches),Sea Temperature Anomaly,Earth Surface Temperature Anomaly (land and ocean),Mean cumulative mass balance of glaciers
0,2020,330.7142329610922,405.57676759796186,1906.690278122681,9.439804002039995,0.7700406341148103,1.612598883580933,-25.974229999999988
1,2021,331.4660611448772,407.2579976138204,1916.3552234089257,9.449433813919995,0.792618760601254,1.6455121818770806,-25.958849999999984
2,2022,332.21788932866207,408.93922762967895,1926.020168695166,9.453923971399997,0.8151968870877049,1.678425480173221,-25.958849999999984
3,2023,332.969717512447,410.620457645537,1935.6851139814096,9.453923971399997,0.8377750135741557,1.7113387784693543,-26.031389999999988
4,2024,333.72154569623194,412.3016876613956,1945.35005926765,9.453923971399997,0.8603531400605959,1.7442520767654983,-26.055039999999984
5,2025,334.4733738800169,413.9829176772541,1955.015004553894,9.453923971399997,0.8829312665470503,1.7771653750616423,-26.055039999999984
6,2026,335.22520206380204,415.6641476931122,1964.6799498401344,9.453923971399997,0.9055093930335084,1.8100786733577792,-26.055039999999984
7,2027,335.977030247587,417.3453777089708,1974.344895126378,9.453923971399997,0.928087519519952,1.8429919716539267,-26.055039999999984
8,2028,336.7288584313719,419.02660772482886,1984.0098404126184,9.453923971399997,0.9506656460063994,1.87590526995006,-26.055039999999984
9,2029,337.48068661515686,420.7078377406874,1993.6747856988625,9.453923971399997,0.9732437724928538,1.9088185682462004,-26.055039999999984
10,2030,338.2325147989418,422.389067756546,2003.3397309851025,9.453923971399997,0.995821898979294,1.941731866542348,-26.21857999999999
11,2031,338.9843429827268,424.0702977724041,2013.0046762713464,9.453923971399997,1.0184000254657484,1.9746451648384884,-26.21857999999999
12,2032,339.73617116651167,425.7515277882626,2022.6696215575869,9.453923971399997,1.0409781519521957,2.0075584631346324,-26.21857999999999
13,2033,340.4879993502966,427.43275780412114,2032.3345668438303,9.453923971399997,1.0635562784386394,2.0404717614307764,-26.21857999999999
14,2034,341.23982753408154,429.1139878199792,2041.9995121300744,9.453923971399997,1.0861344049250905,2.073385059726906,-26.21857999999999
15,2035,341.9916557178667,430.7952178358378,2051.6644574163147,9.453923971399997,1.1087125314115482,2.1062983580230537,-26.21857999999999
16,2036,342.74348390165164,432.4764478516959,2061.3294027025586,9.453923971399997,1.1312906578980026,2.1392116563191905,-26.21857999999999
17,2037,343.4953120854366,434.1576778675544,2070.994347988799,9.453923971399997,1.1538687843844428,2.172124954615331,-26.305049999999987
18,2038,344.2471402692215,435.83890788341296,2080.6592932750427,9.453923971399997,1.1764469108708866,2.2050382529114785,-26.305049999999987
19,2039,344.99896845300646,437.5201378992711,2090.324238561283,9.471947702779994,1.1990250373573446,2.237951551207612,-26.305049999999987
20,2040,345.7507966367914,439.2013679151296,2099.989183847527,9.471947702779994,1.2216031638437883,2.270864849503756,-26.305049999999987
21,2041,346.5026248205764,440.88259793098814,2109.654129133767,9.471947702779994,1.244181290330232,2.303778147799896,-26.305049999999987
22,2042,347.25445300436127,442.56382794684623,2119.319074420011,9.471947702779994,1.266759416816683,2.336691446096033,-26.382609999999985
23,2043,348.0062811881462,444.2450579627048,2128.984019706252,9.471947702779994,1.2893375433031302,2.369604744392184,-26.382609999999985
24,2044,348.75810937193137,445.92628797856287,2138.648964992495,9.489971434159996,1.3119156697895915,2.402518042688321,-26.401609999999987
25,2045,349.5099375557163,447.6075179944214,2148.3139102787354,9.489971434159996,1.3344937962760357,2.435431340984465,-26.401609999999987
26,2046,350.26176573950124,449.28874801028,2157.97885556498,9.489971434159996,1.3570719227624863,2.4683446392806125,-26.401609999999987
27,2047,351.0135939232862,450.9699780261381,2167.64380085122,9.489971434159996,1.3796500492489372,2.5012579375767423,-26.36596999999999
28,2048,351.7654221070711,452.6512080419966,2177.3087461374635,9.489971434159996,1.402228175735381,2.5341712358728863,-26.36596999999999
29,2049,352.51725029085605,454.3324380578552,2186.973691423708,9.489971434159996,1.4248063022218282,2.567084534169034,-26.36596999999999
30,2050,353.269078474641,456.0136680737132,2196.638636709948,9.504289675599994,1.447384428708279,2.599997832465164,-26.36596999999999
